phase,ts,name,cpu,mem,mempct,netio,blockio,pids
idle,1785124086,server-mongo-1,0.74%,197.6MiB / 7.612GiB,2.53%,17.8kB / 29.6kB,128MB / 2.39MB,76
idle,1785124088,server-server-1,0.25%,47.83MiB / 7.612GiB,0.61%,31.4kB / 17.3kB,0B / 0B,11
idle,1785124088,server-mongo-1,1.39%,197.8MiB / 7.612GiB,2.54%,17.8kB / 29.6kB,128MB / 2.42MB,76
idle,1785124091,server-server-1,0.26%,47.96MiB / 7.612GiB,0.62%,33kB / 17.7kB,0B / 0B,11
idle,1785124091,server-mongo-1,0.84%,197.6MiB / 7.612GiB,2.54%,18.1kB / 31.1kB,128MB / 2.42MB,76
idle,1785124093,server-server-1,0.23%,47.74MiB / 7.612GiB,0.61%,33kB / 17.7kB,0B / 0B,11
idle,1785124093,server-mongo-1,13.93%,287.1MiB / 7.612GiB,3.68%,18.1kB / 31.1kB,128MB / 2.42MB,84
load,1785124195,server-server-1,110.20%,90.03MiB / 7.612GiB,1.16%,2.3MB / 160MB,0B / 0B,11
load,1785124195,server-mongo-1,0.54%,197.9MiB / 7.612GiB,2.54%,22.7kB / 47.7kB,128MB / 3.45MB,76
load,1785124197,server-server-1,112.99%,83.57MiB / 7.612GiB,1.07%,3.23MB / 227MB,0B / 0B,11
load,1785124197,server-mongo-1,0.89%,197.9MiB / 7.612GiB,2.54%,22.7kB / 47.7kB,128MB / 3.45MB,76
load,1785124199,server-server-1,110.76%,106.6MiB / 7.612GiB,1.37%,4.12MB / 290MB,0B / 0B,11
load,1785124199,server-mongo-1,75.72%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.49MB,76
load,1785124201,server-server-1,110.40%,88.79MiB / 7.612GiB,1.14%,5.11MB / 361MB,0B / 0B,11
load,1785124201,server-mongo-1,0.58%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.49MB,76
load,1785124203,server-server-1,108.53%,102.5MiB / 7.612GiB,1.32%,5.92MB / 420MB,0B / 0B,11
load,1785124203,server-mongo-1,0.51%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.49MB,76
load,1785124205,server-server-1,108.59%,103.2MiB / 7.612GiB,1.32%,6.87MB / 488MB,0B / 0B,11
load,1785124205,server-mongo-1,70.84%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.49MB,76
load,1785124207,server-server-1,105.69%,96.1MiB / 7.612GiB,1.23%,7.86MB / 559MB,0B / 0B,11
load,1785124207,server-mongo-1,0.80%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.5MB,76
load,1785124209,server-server-1,112.89%,92.36MiB / 7.612GiB,1.18%,8.84MB / 628MB,0B / 0B,11
load,1785124209,server-mongo-1,0.61%,197.9MiB / 7.612GiB,2.54%,23.4kB / 50.9kB,128MB / 3.56MB,76
load,1785124211,server-server-1,108.10%,93.73MiB / 7.612GiB,1.20%,9.75MB / 694MB,0B / 0B,11
load,1785124211,server-mongo-1,39.01%,197.9MiB / 7.612GiB,2.54%,23.4kB / 50.9kB,128MB / 3.56MB,76
load,1785124213,server-server-1,109.28%,99.79MiB / 7.612GiB,1.28%,10.7MB / 764MB,0B / 0B,11
load,1785124213,server-mongo-1,0.50%,197.9MiB / 7.612GiB,2.54%,23.4kB / 50.9kB,128MB / 3.56MB,76
load,1785124215,server-server-1,107.63%,98.74MiB / 7.612GiB,1.27%,11.8MB / 842MB,0B / 0B,11
load,1785124215,server-mongo-1,0.58%,197.9MiB / 7.612GiB,2.54%,23.4kB / 50.9kB,128MB / 3.56MB,76
load,1785124217,server-server-1,108.04%,86.39MiB / 7.612GiB,1.11%,12.8MB / 911MB,0B / 0B,11
load,1785124217,server-mongo-1,0.83%,197.9MiB / 7.612GiB,2.54%,23.4kB / 50.9kB,128MB / 3.57MB,76
load,1785124219,server-server-1,112.54%,83.46MiB / 7.612GiB,1.07%,13.8MB / 988MB,0B / 0B,11
load,1785124219,server-mongo-1,0.59%,197.9MiB / 7.612GiB,2.54%,23.7kB / 52.5kB,128MB / 3.61MB,76
load,1785124221,server-server-1,105.09%,107.5MiB / 7.612GiB,1.38%,14.8MB / 1.06GB,0B / 0B,11
load,1785124221,server-mongo-1,7.90%,266.8MiB / 7.612GiB,3.42%,23.7kB / 52.5kB,128MB / 3.61MB,84
load,1785124224,server-server-1,108.18%,96.86MiB / 7.612GiB,1.24%,15.6MB / 1.12GB,0B / 0B,11
load,1785124224,server-mongo-1,0.56%,197.9MiB / 7.612GiB,2.54%,23.7kB / 52.5kB,128MB / 3.61MB,76
load,1785124226,server-server-1,113.15%,88.06MiB / 7.612GiB,1.13%,16.6MB / 1.18GB,0B / 0B,11
load,1785124226,server-mongo-1,0.53%,197.9MiB / 7.612GiB,2.54%,23.7kB / 52.5kB,128MB / 3.61MB,76
load,1785124228,server-server-1,109.34%,86.48MiB / 7.612GiB,1.11%,17.5MB / 1.25GB,0B / 0B,11
load,1785124228,server-mongo-1,18.59%,333.5MiB / 7.612GiB,4.28%,23.7kB / 52.5kB,128MB / 3.86MB,84
load,1785124230,server-server-1,110.35%,104.2MiB / 7.612GiB,1.34%,18.4MB / 1.32GB,0B / 0B,11
load,1785124230,server-mongo-1,0.61%,197.9MiB / 7.612GiB,2.54%,24.7kB / 54.7kB,128MB / 3.9MB,76
load,1785124232,server-server-1,107.88%,101.1MiB / 7.612GiB,1.30%,19.4MB / 1.38GB,0B / 0B,11
load,1785124232,server-mongo-1,0.56%,197.9MiB / 7.612GiB,2.54%,24.7kB / 54.7kB,128MB / 3.9MB,76
load,1785124234,server-server-1,105.39%,92.39MiB / 7.612GiB,1.19%,20.2MB / 1.45GB,0B / 0B,11
load,1785124234,server-mongo-1,52.23%,352.3MiB / 7.612GiB,4.52%,24.7kB / 54.7kB,128MB / 3.9MB,91
load,1785124236,server-server-1,109.41%,90.19MiB / 7.612GiB,1.16%,21.3MB / 1.52GB,0B / 0B,11
load,1785124236,server-mongo-1,0.54%,197.9MiB / 7.612GiB,2.54%,24.7kB / 54.7kB,128MB / 3.9MB,76
load,1785124238,server-server-1,113.43%,96.76MiB / 7.612GiB,1.24%,22.2MB / 1.59GB,0B / 0B,11
load,1785124238,server-mongo-1,1.52%,197.9MiB / 7.612GiB,2.54%,24.7kB / 54.7kB,128MB / 3.94MB,76
load,1785124240,server-server-1,110.55%,104.8MiB / 7.612GiB,1.34%,23.1MB / 1.65GB,0B / 0B,11
load,1785124240,server-mongo-1,79.40%,197.9MiB / 7.612GiB,2.54%,25.1kB / 56.3kB,128MB / 3.94MB,76
load,1785124242,server-server-1,114.29%,84.44MiB / 7.612GiB,1.08%,24MB / 1.72GB,0B / 0B,11
load,1785124242,server-mongo-1,0.53%,197.9MiB / 7.612GiB,2.54%,25.1kB / 56.3kB,128MB / 3.94MB,76
load,1785124244,server-server-1,105.64%,101.1MiB / 7.612GiB,1.30%,24.9MB / 1.78GB,0B / 0B,11
load,1785124244,server-mongo-1,0.46%,197.9MiB / 7.612GiB,2.54%,25.1kB / 56.3kB,128MB / 3.97MB,76
